epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6261,1.0708,2.27216,1.37297,0.11862,0.14922,0.09177,0.04747,2.50335,29.4041,3.27471,0.000412415,0.000412415,0.000412415
2,159.916,1.28821,1.82892,1.54645,0.4023,0.17537,0.15636,0.08229,1.89179,16.5898,2.80977,0.000820874,0.000820874,0.000820874
3,242.668,1.34268,1.8038,1.57934,0.18473,0.32702,0.17496,0.10549,1.60896,12.1168,2.39714,0.00122108,0.00122108,0.00122108
4,325.952,1.25592,1.74079,1.52388,0.37522,0.57192,0.44731,0.31381,1.13455,5.05032,1.73395,0.00121287,0.00121287,0.00121287
5,409.823,1.22819,1.64826,1.49648,0.3153,0.57792,0.4296,0.22388,1.57992,9.50986,1.91169,0.0012005,0.0012005,0.0012005
6,488.767,1.18319,1.60017,1.46531,0.57563,0.7385,0.59724,0.44761,0.91593,1.32748,1.41468,0.00118812,0.00118812,0.00118812
7,572.049,1.11787,1.50359,1.39885,0.53667,0.70076,0.59023,0.44914,0.84739,1.96355,1.34972,0.00117575,0.00117575,0.00117575
8,653.12,1.06338,1.42883,1.37225,0.55646,0.74144,0.62717,0.46846,0.84916,1.82975,1.37059,0.00116337,0.00116337,0.00116337
9,734.88,1.02171,1.37909,1.34785,0.42495,0.58232,0.47557,0.30801,1.30574,2.65823,1.72436,0.001151,0.001151,0.001151
10,813.747,0.99642,1.33347,1.32608,0.64824,0.78638,0.65296,0.51114,0.76537,1.35263,1.23938,0.00113863,0.00113863,0.00113863
11,896.845,0.9765,1.29089,1.30526,0.61207,0.82921,0.66664,0.5213,0.74264,0.99525,1.24829,0.00112625,0.00112625,0.00112625
12,979.828,0.92958,1.24749,1.26806,0.59834,0.72624,0.65551,0.52647,0.68931,1.04516,1.19357,0.00111388,0.00111388,0.00111388
13,1062.84,0.90845,1.21532,1.24971,0.62116,0.81861,0.69576,0.55944,0.67901,0.95543,1.17178,0.0011015,0.0011015,0.0011015
14,1143.07,0.86604,1.18161,1.23419,0.61605,0.86587,0.74904,0.60981,0.62972,0.92562,1.15979,0.00108913,0.00108913,0.00108913
15,1224.49,0.8799,1.19087,1.23423,0.57899,0.83837,0.7112,0.58632,0.63938,1.02662,1.15553,0.00107675,0.00107675,0.00107675
16,1303,0.83269,1.13021,1.21018,0.64672,0.86531,0.75232,0.62569,0.61434,0.8173,1.13446,0.00106437,0.00106437,0.00106437
